TimeStamp,Temperature,Humidity
19/01/16 13:21,,75.0,32.1
19/01/16 13:26,,75.0,31.5
19/01/16 13:31,,74.7,31.8
19/01/16 13:36,,74.7,31.6
19/01/16 13:41,,74.5,31.1
19/01/16 13:46,,74.3,31.6
19/01/16 13:51,,74.3,31.6
19/01/16 13:56,,74.1,31.8
19/01/16 14:01,,74.1,31.7
19/01/16 14:06,,74.3,31.5
19/01/16 14:11,,74.5,31.4
19/01/16 14:16,,74.3,31.5
19/01/16 14:21,,74.3,31.5
19/01/16 14:26,,74.1,31.5
19/01/16 14:31,,74.1,32.1
19/01/16 14:37,,73.9,31.8
19/01/16 14:42,,73.9,31.6
19/01/16 14:47,,73.9,31.8
19/01/16 14:52,,74.1,32.1
19/01/16 14:57,,74.1,31.7
19/01/16 15:02,,74.3,31.6
19/01/16 15:07,,74.1,31.7
19/01/16 15:12,,74.1,31.7
19/01/16 15:17,,74.1,31.7
19/01/16 15:22,,74.1,31.8
19/01/16 15:27,,73.9,31.5
19/01/16 15:32,,73.9,31.5
19/01/16 15:37,,73.9,30.9
19/01/16 15:42,,73.9,30.9
19/01/16 15:48,,73.9,31.5
19/01/16 15:53,,73.9,31.5
19/01/16 15:58,,74.3,31.3
19/01/16 16:03,,74.5,31.1
19/01/16 16:08,,74.3,31.0
19/01/16 16:13,,74.3,31.0
19/01/16 16:18,,74.1,31.2
19/01/16 16:23,,74.1,31.4
19/01/16 16:28,,74.1,31.4
19/01/16 16:33,,74.1,31.4
19/01/16 16:38,,74.1,31.5
19/01/16 16:43,,74.1,31.5
19/01/16 16:48,,74.5,31.5
19/01/16 16:53,,74.5,31.5
19/01/16 16:58,,74.3,31.5
