TimeStamp,Temperature,Humidity
01/17/19 11:24,74.3,32.7
01/17/19 11:29,75.0,31.9
01/17/19 11:34,75.0,31.9
01/17/19 11:39,75.0,31.2
01/17/19 11:44,74.8,31.4
01/17/19 11:49,74.7,31.3
01/17/19 11:54,75.0,31.8
01/17/19 11:59,75.2,32.1
01/17/19 12:04,75.2,32.1
01/17/19 12:09,75.6,32.4
01/17/19 12:14,75.6,32.1
01/17/19 12:19,75.4,32.3
01/17/19 12:24,75.0,32.7
01/17/19 12:29,74.8,32.9
01/17/19 12:34,74.8,32.9
01/17/19 12:39,75.2,32.8
01/17/19 12:44,76.3,32.8
01/17/19 12:50,76.5,32.8
01/17/19 12:55,76.5,32.8
01/17/19 13:00,76.1,33.2
01/17/19 13:05,75.9,33.4
01/17/19 13:10,76.1,33.1
01/17/19 13:15,76.1,33.1
